short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur
K. Hodžić,25,179,71,61.0,32.0,54.0,59.0,58.0,56.0,325000
F. Drinkuth,25,185,83,75.0,56.0,55.0,64.0,24.0,62.0,375000
J. Grzesik,25,178,70,77.0,31.0,52.0,54.0,56.0,62.0,325000
V. Rață,27,173,64,51.0,54.0,55.0,57.0,60.0,66.0,325000
A. Budimbu,25,178,81,71.0,51.0,56.0,65.0,42.0,69.0,375000
N. Girmai Netabay,25,172,68,72.0,56.0,59.0,65.0,52.0,57.0,375000
L. Aponte,26,172,66,67.0,30.0,47.0,50.0,60.0,61.0,325000
C. Vélez,27,169,65,56.0,30.0,39.0,46.0,62.0,61.0,325000
R. Quintana,25,173,70,63.0,59.0,48.0,64.0,20.0,57.0,375000
M. Fuentes,24,183,77,68.0,55.0,57.0,63.0,50.0,54.0,375000
Manu Viana,25,170,71,64.0,52.0,65.0,58.0,54.0,58.0,375000
V. Buhăcianu,26,182,70,70.0,63.0,40.0,60.0,22.0,54.0,375000
O. Ursu,25,176,70,65.0,59.0,57.0,63.0,27.0,45.0,375000
Lee Jong Sung,27,187,72,50.0,55.0,59.0,61.0,60.0,73.0,325000
E. Whitehouse,26,180,80,68.0,59.0,56.0,63.0,55.0,76.0,350000
T. Schilk,28,188,75,73.0,38.0,52.0,54.0,61.0,71.0,300000
D. Starkl,26,176,70,76.0,60.0,58.0,67.0,36.0,60.0,375000
S. Flochon,27,181,77,55.0,48.0,57.0,60.0,57.0,63.0,325000
Z. Gordon,27,180,77,74.0,33.0,46.0,61.0,60.0,75.0,325000
J. Henríquez,26,176,73,70.0,60.0,66.0,61.0,40.0,69.0,350000
G. Amiot,25,187,80,47.0,28.0,45.0,40.0,64.0,66.0,325000
J. Green,25,168,72,88.0,54.0,55.0,64.0,33.0,52.0,375000
P. Lima,28,182,73,56.0,33.0,35.0,45.0,61.0,68.0,300000
K. Brünker,26,190,78,76.0,60.0,44.0,52.0,22.0,77.0,375000
E. Pálsson,27,185,81,65.0,51.0,56.0,56.0,57.0,72.0,325000
N. Fukumori,27,183,79,65.0,39.0,47.0,46.0,61.0,73.0,325000
E. Cangá,26,182,87,82.0,59.0,56.0,60.0,27.0,61.0,375000
Y. Reyes,26,165,60,75.0,58.0,59.0,61.0,48.0,58.0,375000
R. Malone,27,188,81,65.0,29.0,41.0,37.0,61.0,72.0,325000
C. Anene,27,189,90,67.0,58.0,51.0,60.0,29.0,68.0,350000
R. Watson,26,185,73,65.0,58.0,61.0,63.0,56.0,67.0,350000
K. Hansen,25,180,72,78.0,55.0,56.0,64.0,43.0,56.0,350000
C. Bolger,28,196,78,44.0,28.0,31.0,32.0,62.0,71.0,300000
S. Lang,26,178,70,68.0,37.0,55.0,56.0,57.0,56.0,300000
S. Gündüz,26,171,74,78.0,54.0,55.0,64.0,45.0,68.0,350000
G. Morrissey,28,183,81,51.0,59.0,58.0,59.0,59.0,69.0,300000
Kim Hyun,27,191,86,63.0,60.0,52.0,60.0,26.0,70.0,350000
J. McLaughlin,27,173,61,71.0,55.0,62.0,65.0,49.0,54.0,350000
L. Gambin,27,168,70,68.0,53.0,58.0,69.0,36.0,42.0,350000
B. Turgott,26,183,65,76.0,55.0,53.0,66.0,23.0,51.0,350000
Rafinha,26,177,74,59.0,55.0,59.0,66.0,52.0,67.0,350000
G. Wegkamp,27,193,84,53.0,61.0,52.0,56.0,35.0,74.0,350000
M. Palmer,25,179,79,65.0,59.0,62.0,62.0,60.0,65.0,350000
R. Alborno,26,180,76,62.0,36.0,53.0,54.0,59.0,57.0,300000
S. Roux,27,181,71,75.0,49.0,54.0,63.0,56.0,68.0,300000
A. Kenyon,27,182,76,62.0,46.0,55.0,60.0,57.0,75.0,300000
M. Koj,26,188,81,49.0,40.0,53.0,54.0,62.0,76.0,300000
M. Al Saiari,27,183,75,69.0,60.0,52.0,60.0,36.0,73.0,350000
Luo Jing,26,180,72,66.0,60.0,60.0,61.0,60.0,60.0,350000
Kim Dong Jin,27,177,74,68.0,24.0,37.0,47.0,62.0,69.0,300000
N. Giraldo,27,174,64,66.0,44.0,53.0,59.0,57.0,66.0,300000
Zhang Wei,27,176,73,72.0,37.0,53.0,58.0,60.0,64.0,300000
Zheng Dalun,26,170,69,76.0,56.0,55.0,65.0,49.0,56.0,350000
H. Al Jayzani,27,173,72,76.0,35.0,47.0,54.0,55.0,70.0,300000
Shi Zhe,27,170,66,64.0,52.0,58.0,58.0,57.0,65.0,300000
Kim Seon Woo,27,174,62,56.0,53.0,59.0,56.0,57.0,67.0,350000
Ian González,27,189,83,41.0,63.0,51.0,60.0,34.0,67.0,350000
M. Ramsland,27,183,82,73.0,59.0,43.0,56.0,42.0,81.0,350000
Myeong Joon Jae,25,178,68,65.0,48.0,58.0,62.0,55.0,52.0,350000
Song Si Woo,26,174,71,77.0,62.0,60.0,65.0,37.0,51.0,375000
Lee Dong Su,26,185,72,56.0,45.0,56.0,61.0,60.0,66.0,350000
E. Figueroa,29,184,79,65.0,56.0,61.0,60.0,60.0,65.0,275000
Jung Hoon Sung,26,172,70,70.0,47.0,57.0,65.0,27.0,41.0,350000
N. Ouammou,27,181,73,69.0,51.0,62.0,68.0,50.0,52.0,300000
B. Oña,26,177,68,63.0,59.0,58.0,61.0,28.0,60.0,350000
V. Morar,26,183,78,70.0,63.0,37.0,62.0,23.0,60.0,375000
J. Cuellar,29,185,82,56.0,28.0,45.0,47.0,61.0,66.0,275000
P. Ba,27,174,68,71.0,67.0,45.0,54.0,23.0,60.0,350000
A. Escobar,26,172,69,64.0,33.0,52.0,51.0,63.0,54.0,300000
J. Kiełb,26,176,73,67.0,42.0,54.0,56.0,55.0,60.0,300000
B. Rotenberg,34,188,84,68.0,38.0,52.0,50.0,63.0,62.0,110000
J. White,33,185,78,50.0,35.0,51.0,52.0,62.0,70.0,140000
V. Figueroa,36,168,63,63.0,61.0,57.0,63.0,49.0,47.0,100000
C. Donaldson,36,185,81,54.0,59.0,50.0,60.0,29.0,75.0,110000
K. Chiba,35,183,77,41.0,36.0,50.0,50.0,60.0,66.0,90000
L. Fontaine,34,188,83,38.0,29.0,50.0,54.0,62.0,67.0,110000
C. Tremarco,34,180,78,60.0,31.0,54.0,56.0,60.0,66.0,110000
J. Ortiz,36,180,74,65.0,57.0,63.0,58.0,59.0,66.0,100000
Yang Sang Min,36,182,78,47.0,52.0,57.0,62.0,62.0,64.0,60000
B. Moore,31,183,72,77.0,61.0,59.0,65.0,52.0,64.0,275000
J. Grant,32,181,70,80.0,58.0,59.0,65.0,38.0,59.0,240000
T. Robinson,31,174,64,76.0,61.0,49.0,61.0,38.0,66.0,275000
S. Foley,33,183,74,67.0,57.0,63.0,63.0,60.0,64.0,180000
S. Sinclair,32,170,67,68.0,54.0,59.0,63.0,61.0,76.0,230000
T. Diagouraga,33,188,72,53.0,54.0,60.0,60.0,62.0,72.0,180000
L. Alessandra,31,175,73,75.0,59.0,56.0,66.0,30.0,64.0,275000
Zhao Xuri,34,185,84,42.0,61.0,61.0,59.0,62.0,72.0,150000
Kim Tae Youn,33,183,79,56.0,41.0,54.0,52.0,61.0,71.0,140000
N. Cabrera,37,191,84,53.0,38.0,49.0,44.0,61.0,65.0,60000
M. Palionis,33,194,89,30.0,33.0,45.0,39.0,63.0,68.0,140000
N. Feldhahn,33,190,85,33.0,35.0,53.0,50.0,61.0,63.0,140000
R. Vincelot,34,177,71,46.0,44.0,57.0,55.0,60.0,72.0,120000
T. Pope,34,190,86,41.0,63.0,52.0,51.0,38.0,81.0,160000
R. Reid,31,183,77,72.0,61.0,51.0,61.0,34.0,69.0,275000
R. Finn,32,185,71,61.0,58.0,60.0,63.0,55.0,71.0,190000
N. Boogaard,33,188,88,48.0,27.0,42.0,38.0,59.0,74.0,140000
P. Malinowski,36,170,66,74.0,54.0,58.0,61.0,35.0,57.0,100000
M. Gajić,33,182,77,52.0,62.0,62.0,62.0,54.0,67.0,180000
P. Amond,32,178,79,65.0,62.0,49.0,58.0,37.0,65.0,240000
E. Israelsson,31,181,73,53.0,58.0,59.0,60.0,55.0,77.0,250000
M. Ellis,31,188,78,53.0,30.0,43.0,45.0,62.0,66.0,230000
Song Jin Hyung,32,175,65,74.0,60.0,65.0,66.0,57.0,54.0,230000
J. Widdowson,31,183,77,78.0,25.0,43.0,59.0,59.0,70.0,220000
A. Winter,33,178,75,81.0,61.0,58.0,61.0,47.0,60.0,180000
S. McGinn,31,180,80,39.0,56.0,62.0,65.0,56.0,76.0,250000
K. Watson,30,184,78,53.0,48.0,56.0,56.0,62.0,67.0,250000
J. Mellis,29,181,69,60.0,61.0,64.0,63.0,53.0,64.0,300000
C. Morris,30,191,83,67.0,30.0,40.0,46.0,60.0,71.0,250000
D. Ragatzu,28,172,68,75.0,60.0,53.0,68.0,31.0,45.0,325000
B. Grant,30,180,76,74.0,61.0,64.0,65.0,47.0,62.0,275000
K. Dennis,30,180,75,69.0,63.0,51.0,59.0,37.0,71.0,300000
I. Vigurs,32,173,72,66.0,57.0,62.0,64.0,54.0,68.0,230000
L. Waterfall,29,188,84,48.0,37.0,36.0,41.0,61.0,74.0,250000
A. MacDonald,30,170,72,71.0,58.0,60.0,65.0,57.0,83.0,275000
C. Clements,30,175,66,58.0,53.0,62.0,63.0,58.0,64.0,275000
L. Young,30,175,61,78.0,47.0,52.0,65.0,54.0,47.0,240000
Enric Vallès,30,190,84,62.0,61.0,63.0,63.0,55.0,72.0,275000
P. Quiñonez,34,171,69,60.0,46.0,49.0,50.0,61.0,63.0,120000
K. Biliński,32,182,79,62.0,62.0,55.0,61.0,24.0,59.0,240000
N. Hazazi,31,182,78,58.0,63.0,56.0,60.0,26.0,61.0,275000
A. Wede,30,174,72,65.0,57.0,62.0,63.0,55.0,63.0,275000
J. Zambrano,27,166,66,76.0,56.0,58.0,63.0,32.0,36.0,325000
B. Reeves,28,172,67,72.0,62.0,62.0,68.0,53.0,62.0,300000
E. Cebotaru,35,181,74,54.0,48.0,61.0,59.0,58.0,64.0,100000
O. Arce,30,189,77,33.0,65.0,57.0,59.0,42.0,74.0,300000
Marc Vales,30,184,79,61.0,36.0,51.0,53.0,59.0,71.0,250000
J. Kotzke,30,184,81,61.0,45.0,54.0,52.0,61.0,72.0,250000
J. Hanson,32,193,78,30.0,63.0,48.0,52.0,31.0,80.0,240000
N. Clark,29,173,66,68.0,63.0,53.0,62.0,33.0,54.0,300000
A. Wildig,28,175,73,70.0,58.0,61.0,66.0,48.0,62.0,300000
M. Bodzioch,30,190,85,54.0,42.0,50.0,48.0,59.0,72.0,250000
A. Niewulis,31,187,77,58.0,39.0,52.0,52.0,60.0,74.0,230000
I. Uzochukwu,30,171,76,75.0,53.0,53.0,64.0,58.0,71.0,250000
A. Eastham,29,191,90,45.0,23.0,42.0,44.0,60.0,75.0,250000
H. Gutiérrez,35,178,74,62.0,51.0,59.0,62.0,57.0,63.0,130000
C. McAleny,27,178,66,74.0,62.0,58.0,66.0,24.0,48.0,325000
P. Cowan-Hall,29,173,73,81.0,56.0,55.0,64.0,35.0,57.0,300000
A. Straith,29,188,89,52.0,34.0,50.0,52.0,61.0,72.0,250000
S. Robinson,28,168,68,74.0,58.0,61.0,65.0,50.0,68.0,325000
A. Greene,30,177,79,82.0,58.0,57.0,61.0,36.0,70.0,300000
G. Gohou,31,184,80,66.0,62.0,53.0,58.0,34.0,65.0,275000
K. Ward,29,168,65,69.0,59.0,60.0,63.0,48.0,53.0,300000
S. Payne,28,178,74,68.0,60.0,49.0,59.0,27.0,68.0,325000
F. Burmeister,30,186,82,57.0,37.0,45.0,48.0,62.0,69.0,250000
R. Benson,28,175,77,67.0,59.0,60.0,64.0,58.0,71.0,300000
J. Lindberg,31,177,70,64.0,61.0,63.0,64.0,43.0,65.0,275000
Lee Jae Kwon,32,176,72,75.0,54.0,59.0,63.0,57.0,71.0,230000
Jeong Ho Jeong,31,180,76,69.0,35.0,43.0,46.0,63.0,72.0,230000
G. Gigliotti,30,180,72,68.0,44.0,56.0,59.0,61.0,72.0,250000
A. Rakowski,29,180,70,64.0,54.0,58.0,66.0,50.0,65.0,300000
Xavi Boniquet,30,173,68,74.0,55.0,58.0,66.0,35.0,37.0,275000
B. Gartland,33,188,85,31.0,29.0,43.0,33.0,61.0,72.0,140000
N. Ajose,28,173,78,72.0,62.0,53.0,63.0,35.0,59.0,325000
Kim Dong Woo,32,189,87,51.0,34.0,46.0,50.0,62.0,73.0,190000
M. Szczepaniak,29,184,73,69.0,62.0,55.0,64.0,35.0,59.0,300000
Cho Ji Hun,30,191,80,60.0,62.0,64.0,60.0,58.0,64.0,275000
D. Abramowicz,29,186,76,63.0,35.0,59.0,44.0,59.0,67.0,250000
J. Meza,34,165,60,82.0,57.0,59.0,69.0,49.0,48.0,150000
D. Salazar,28,167,69,65.0,64.0,47.0,54.0,23.0,62.0,325000
S. Benyamina,30,190,79,67.0,62.0,42.0,62.0,34.0,69.0,300000
O. Sveen,30,181,77,75.0,59.0,55.0,61.0,56.0,66.0,300000
L. Caballero,30,175,74,44.0,64.0,54.0,62.0,43.0,58.0,300000
Chen Zhizhao,32,170,66,73.0,62.0,61.0,66.0,48.0,48.0,230000
Han Yong Su,30,184,80,54.0,24.0,45.0,56.0,60.0,62.0,250000
M. Rybicki,27,175,65,75.0,60.0,53.0,66.0,30.0,46.0,325000
M. Armellino,30,176,75,63.0,41.0,58.0,63.0,58.0,65.0,275000
N. Knight-Percival,33,182,73,55.0,30.0,40.0,46.0,62.0,72.0,140000
Y. Hamza,29,182,75,68.0,46.0,59.0,55.0,57.0,75.0,250000
A. Khrees,29,178,73,68.0,50.0,53.0,57.0,58.0,70.0,250000
D. Rose,32,170,66,56.0,57.0,61.0,61.0,59.0,64.0,230000
D. Rowe,30,183,80,64.0,63.0,51.0,59.0,30.0,70.0,300000
G. Lüchinger,27,172,72,75.0,58.0,59.0,68.0,51.0,64.0,300000
Lee Woo Hyeok,27,185,76,71.0,45.0,62.0,62.0,51.0,68.0,300000
M. Escoe,29,174,70,86.0,65.0,51.0,65.0,28.0,60.0,300000
A. Al Sahabi,33,181,68,65.0,33.0,46.0,55.0,62.0,71.0,140000
W. Suwayyid,32,174,66,72.0,48.0,58.0,58.0,55.0,70.0,190000
N. Al Subhi,30,180,74,57.0,46.0,45.0,48.0,61.0,74.0,250000
D. Mast,28,186,79,84.0,54.0,56.0,62.0,34.0,62.0,300000
T. Lindenhahn,29,177,79,75.0,59.0,61.0,68.0,59.0,74.0,250000
S. Amro,30,178,72,73.0,47.0,59.0,55.0,56.0,69.0,240000
Park Joon Kang,29,170,63,62.0,26.0,49.0,64.0,60.0,51.0,250000
S. Luštica,29,174,70,58.0,59.0,62.0,59.0,48.0,63.0,300000
A. Al Nazera,27,172,66,63.0,58.0,61.0,62.0,27.0,60.0,325000
B. Garcés,27,175,77,76.0,60.0,52.0,66.0,27.0,68.0,325000
K. Rendón,27,182,74,74.0,57.0,64.0,62.0,53.0,68.0,300000
F. Jourdan,29,175,72,61.0,58.0,58.0,64.0,57.0,70.0,300000
Z. Kvržić,31,180,72,57.0,43.0,59.0,61.0,60.0,56.0,220000
L. Mulholland,31,173,75,56.0,60.0,60.0,62.0,62.0,64.0,250000
Shin Chang Moo,27,170,67,63.0,58.0,61.0,63.0,44.0,61.0,300000
C. Carlsson,31,172,73,70.0,51.0,59.0,64.0,49.0,54.0,275000
K. Opseth,30,189,90,63.0,63.0,55.0,58.0,25.0,68.0,300000
Zhu Baojie,30,170,68,64.0,53.0,61.0,62.0,52.0,59.0,275000
Kim Sang Won,28,176,69,78.0,51.0,57.0,59.0,56.0,59.0,250000
Bai Yuefeng,33,180,74,61.0,53.0,56.0,55.0,61.0,70.0,140000
F. Görgülü,28,184,77,57.0,35.0,52.0,53.0,63.0,60.0,275000
N. Mousa,33,166,68,79.0,52.0,51.0,58.0,56.0,68.0,140000
Li Shenglong,27,181,75,76.0,59.0,55.0,60.0,45.0,67.0,325000
N. Royón,29,175,73,80.0,57.0,59.0,60.0,24.0,55.0,300000
E. Jiménez,35,178,87,53.0,59.0,61.0,61.0,61.0,66.0,100000
Lü Haidong,28,180,70,65.0,47.0,56.0,55.0,59.0,62.0,250000
D. Franco,28,184,76,44.0,30.0,33.0,38.0,62.0,73.0,275000
O. Muzayil,27,173,61,76.0,37.0,52.0,60.0,57.0,66.0,275000
J. McNerney,30,193,84,46.0,25.0,37.0,33.0,61.0,66.0,250000
J. Clarke,30,183,84,58.0,43.0,50.0,51.0,61.0,72.0,250000
Marlon Barninho,32,193,88,62.0,60.0,58.0,63.0,46.0,61.0,180000
Fabiem Jardim,24,182,78,65.0,63.0,57.0,64.0,36.0,67.0,325000
Dêniro Prestes,20,187,82,47.0,64.0,44.0,58.0,27.0,73.0,350000
Raullino Meneses,20,174,74,62.0,43.0,58.0,53.0,62.0,66.0,300000
Josi Mouraldo,28,182,81,59.0,56.0,62.0,63.0,42.0,68.0,300000
R. Caballero,29,183,80,61.0,62.0,43.0,59.0,23.0,65.0,300000
H. Robstad,29,188,81,63.0,43.0,48.0,62.0,60.0,69.0,250000
N. Ishikawa,34,180,74,38.0,23.0,48.0,52.0,65.0,62.0,110000
K. Oiwa,30,183,78,61.0,23.0,46.0,51.0,62.0,74.0,250000
D. Niwa,34,181,74,35.0,33.0,44.0,46.0,64.0,62.0,110000
A. Al Qahtani,27,172,65,76.0,58.0,59.0,68.0,40.0,57.0,325000
T. Matsuura,31,167,64,67.0,59.0,56.0,68.0,36.0,51.0,275000
K. Yoshimoto,32,185,83,54.0,45.0,51.0,55.0,61.0,72.0,190000
D. Benítez,32,189,82,29.0,32.0,40.0,33.0,61.0,76.0,190000
Piao Shihao,28,176,66,76.0,39.0,54.0,48.0,58.0,73.0,250000
M. Holzmann,29,174,75,70.0,48.0,56.0,59.0,55.0,61.0,250000
Z. Mills,28,182,83,69.0,38.0,50.0,54.0,59.0,68.0,250000
Felipe Soldivia,20,173,67,69.0,53.0,59.0,65.0,41.0,60.0,350000
Jiang Tao,31,183,77,60.0,38.0,61.0,58.0,58.0,70.0,220000
J. Welzmüller,30,188,75,56.0,27.0,36.0,42.0,63.0,67.0,250000
E. Rodríguez,29,186,82,58.0,40.0,54.0,48.0,58.0,70.0,250000
A. El Hriti,30,180,76,65.0,35.0,51.0,58.0,60.0,64.0,240000
Yaki Yen,31,184,73,66.0,33.0,39.0,55.0,63.0,68.0,230000
L. Hannant,26,180,70,74.0,56.0,53.0,62.0,52.0,75.0,325000
A. Al Nemer,28,173,60,71.0,51.0,61.0,67.0,43.0,55.0,300000
A. Benga,31,188,83,51.0,28.0,39.0,37.0,61.0,75.0,230000
R. Frantsen,28,184,76,78.0,56.0,56.0,65.0,56.0,64.0,325000
M. Bakhit,28,167,61,73.0,36.0,50.0,56.0,58.0,67.0,250000
K. Söderström,34,182,75,66.0,52.0,57.0,63.0,43.0,63.0,150000
M. Ahmed,31,183,78,71.0,41.0,49.0,58.0,62.0,67.0,230000
L. Dumitriu,27,178,73,70.0,60.0,61.0,63.0,53.0,60.0,300000
J. Holúbek,29,180,79,70.0,25.0,48.0,59.0,57.0,63.0,250000
C. Dinu,31,175,70,55.0,25.0,53.0,62.0,58.0,65.0,220000
R. Patriche,34,183,75,34.0,23.0,45.0,33.0,62.0,74.0,110000
M. Domański,29,168,62,77.0,62.0,59.0,63.0,35.0,61.0,300000
F. Toplitsch,28,173,69,67.0,52.0,61.0,64.0,32.0,53.0,300000
N. Hernández,27,177,73,68.0,45.0,60.0,52.0,57.0,54.0,275000
D. Linárez,28,172,57,78.0,31.0,49.0,56.0,56.0,63.0,250000
J. Trinidad,27,180,80,58.0,62.0,50.0,61.0,29.0,61.0,325000
J. Rioja,32,178,78,49.0,31.0,42.0,44.0,60.0,72.0,190000
O. Zapata,30,186,82,51.0,36.0,46.0,42.0,59.0,74.0,250000
Rafinha,28,174,65,73.0,59.0,56.0,64.0,36.0,51.0,300000
A. Miranda,27,177,74,77.0,55.0,56.0,68.0,53.0,66.0,300000
R. Book,28,178,78,77.0,55.0,56.0,62.0,40.0,60.0,300000
J. Lara,31,188,76,53.0,52.0,52.0,50.0,60.0,73.0,230000
C. Torres,31,165,64,70.0,32.0,55.0,57.0,58.0,48.0,220000
G. Rojas,38,169,62,59.0,61.0,59.0,64.0,36.0,49.0,100000
P. Ramírez,27,165,69,67.0,50.0,56.0,65.0,28.0,45.0,325000
F. Parra,28,168,79,61.0,53.0,56.0,63.0,54.0,61.0,300000
C. Zúñiga,28,177,72,60.0,62.0,47.0,64.0,22.0,63.0,325000
J. Pósito,30,179,71,60.0,63.0,46.0,62.0,21.0,49.0,300000
I. Ostojić,31,190,81,55.0,29.0,51.0,45.0,60.0,68.0,230000
Y. Senuma,29,185,78,55.0,62.0,54.0,58.0,26.0,68.0,300000
M. Correa,28,167,63,69.0,49.0,57.0,64.0,36.0,46.0,300000
N. Milinceanu,27,189,81,74.0,59.0,54.0,61.0,24.0,65.0,325000
B. Kieliba,29,188,86,48.0,28.0,44.0,37.0,61.0,75.0,250000
I. Ramírez,30,170,67,61.0,36.0,61.0,60.0,56.0,66.0,250000
N. Mușat,33,176,73,62.0,41.0,61.0,47.0,59.0,65.0,140000
M. Sus,30,181,72,75.0,45.0,58.0,63.0,56.0,56.0,240000
D. Cirkin,18,182,72,63.0,39.0,44.0,60.0,61.0,56.0,525000
J. Italiano,18,177,68,74.0,55.0,56.0,68.0,28.0,46.0,575000
L. Matheson,17,168,62,76.0,36.0,53.0,61.0,55.0,53.0,500000
T. Harwood-Bellis,18,185,72,63.0,35.0,49.0,53.0,62.0,61.0,525000
D. Ayala,17,173,62,73.0,40.0,55.0,62.0,61.0,48.0,525000
I. Vassilev,19,175,65,65.0,65.0,52.0,67.0,32.0,51.0,600000
J. Gelhardt,18,175,76,67.0,62.0,52.0,64.0,24.0,52.0,525000
C. Drameh,18,184,73,78.0,35.0,50.0,59.0,54.0,60.0,475000
S. Cartagena,17,176,73,65.0,37.0,53.0,60.0,60.0,61.0,475000
V. Guzmán,18,181,75,67.0,32.0,40.0,45.0,63.0,62.0,475000
J. Musiala,17,181,72,66.0,57.0,55.0,67.0,29.0,43.0,500000
M. Tillman,18,181,75,66.0,64.0,48.0,61.0,18.0,56.0,525000
Tiago Almeida,18,177,67,78.0,31.0,45.0,62.0,56.0,58.0,475000
A. Gigović,18,187,77,69.0,50.0,60.0,63.0,51.0,66.0,525000
D. Sarmiento,17,167,60,73.0,60.0,54.0,68.0,35.0,37.0,500000
A. Virginius,17,181,62,84.0,55.0,48.0,63.0,26.0,40.0,500000
V. Millico,19,174,68,54.0,55.0,60.0,67.0,30.0,40.0,550000
R. Hajal,18,180,75,72.0,44.0,61.0,65.0,46.0,58.0,525000
A. Pitu,18,176,64,70.0,54.0,57.0,63.0,41.0,49.0,525000
A. Gündüz,19,189,84,54.0,30.0,39.0,38.0,63.0,61.0,500000
A. Konaté,19,179,66,75.0,54.0,54.0,69.0,29.0,47.0,550000
Moreno,18,175,70,66.0,57.0,58.0,63.0,36.0,47.0,525000
R. Tihi,18,185,85,64.0,25.0,45.0,54.0,59.0,69.0,475000
L. Colombo,18,183,82,62.0,63.0,44.0,57.0,24.0,57.0,525000
L. Connell,19,177,75,66.0,53.0,64.0,65.0,49.0,60.0,525000
C. Petrila,19,176,67,81.0,50.0,54.0,64.0,33.0,46.0,550000
I. Gruev,20,189,74,54.0,48.0,61.0,59.0,56.0,58.0,525000
Lee Soo Bin,20,180,70,58.0,48.0,58.0,66.0,54.0,55.0,525000
J. Indacoechea,19,172,71,69.0,45.0,60.0,58.0,53.0,58.0,525000
S. Jasper,19,180,65,76.0,55.0,55.0,64.0,33.0,49.0,550000
M. Diomande,18,175,75,73.0,39.0,60.0,66.0,53.0,64.0,525000
T. Ortega,19,179,72,68.0,33.0,43.0,62.0,58.0,64.0,500000
R. Richard,18,182,75,70.0,37.0,48.0,58.0,57.0,61.0,475000
F. D'Amico,19,175,70,69.0,61.0,56.0,64.0,29.0,45.0,550000
F. Flores,18,182,76,60.0,34.0,49.0,54.0,62.0,61.0,475000
R. Calafiori,18,183,78,61.0,31.0,41.0,62.0,59.0,61.0,475000
E. Emegha,17,195,83,69.0,59.0,48.0,56.0,29.0,65.0,500000
Miguel,17,180,75,70.0,52.0,59.0,62.0,33.0,58.0,500000
M. Taylor-Crossdale,20,185,77,72.0,63.0,50.0,61.0,25.0,57.0,550000
Pedro Martelo,20,190,84,45.0,64.0,47.0,53.0,25.0,65.0,550000
Diego Pampín,20,175,71,58.0,33.0,51.0,55.0,58.0,55.0,525000
M. Bidstrup,19,165,67,62.0,52.0,62.0,66.0,57.0,55.0,525000
A. van der Heide,18,174,70,76.0,54.0,51.0,70.0,25.0,42.0,525000
A. McCalmont,20,173,75,66.0,49.0,57.0,66.0,55.0,59.0,525000
P. Osew,19,168,68,82.0,38.0,51.0,61.0,54.0,63.0,500000
Adrián Bernabé,19,175,68,73.0,55.0,56.0,69.0,38.0,48.0,550000
I. Elmkies,20,172,69,65.0,46.0,61.0,63.0,56.0,52.0,550000
D. Kocyła,17,180,66,77.0,57.0,53.0,60.0,26.0,50.0,500000
F. Jørgensen,18,175,68,66.0,46.0,58.0,62.0,53.0,61.0,525000
J. Rahou,17,176,69,61.0,58.0,63.0,60.0,47.0,53.0,500000
M. Rouai,19,184,76,77.0,54.0,55.0,70.0,57.0,56.0,525000
S. Hausner,20,187,79,55.0,26.0,42.0,51.0,61.0,68.0,525000
F. Myhre,21,180,75,56.0,47.0,56.0,63.0,55.0,64.0,525000
T. Eyoma,20,183,76,67.0,35.0,53.0,54.0,62.0,66.0,525000
J. Stevens,20,178,70,72.0,46.0,57.0,64.0,43.0,53.0,550000
F. Gattoni,21,183,72,67.0,32.0,40.0,44.0,65.0,56.0,525000
I. Mahnashi,20,181,73,68.0,42.0,55.0,58.0,59.0,64.0,525000
K. Sessa,19,175,70,76.0,43.0,59.0,73.0,50.0,48.0,525000
A. Balanta,20,178,72,62.0,42.0,51.0,54.0,62.0,63.0,525000
A. Nguiamba,21,179,73,64.0,36.0,55.0,59.0,58.0,63.0,525000
D. Thompson,19,185,75,77.0,36.0,49.0,55.0,55.0,59.0,500000
R. Gotts,20,170,70,77.0,51.0,60.0,64.0,52.0,60.0,550000
A. Lungwitz,19,180,71,65.0,38.0,48.0,56.0,60.0,61.0,500000
A. Francis,19,182,72,74.0,54.0,59.0,66.0,47.0,62.0,525000
A. Maiz,19,172,66,72.0,49.0,61.0,65.0,57.0,57.0,525000
Rúben Fonseca,20,188,82,58.0,60.0,40.0,55.0,37.0,66.0,550000
Carreira,19,170,70,62.0,26.0,46.0,54.0,60.0,47.0,500000
G. Zappa,20,183,75,66.0,30.0,48.0,58.0,56.0,55.0,525000
C. Makoun,20,181,70,46.0,42.0,53.0,50.0,63.0,66.0,525000
T. Strannegård,18,177,63,83.0,44.0,59.0,62.0,44.0,48.0,525000
J. Cifuentes,21,173,70,58.0,32.0,53.0,53.0,61.0,53.0,525000
Javi Martínez,20,180,74,69.0,59.0,47.0,65.0,25.0,60.0,550000
J. Nelson,17,170,66,81.0,53.0,47.0,69.0,26.0,43.0,500000
Samuel Costa,19,183,75,64.0,53.0,56.0,61.0,62.0,64.0,525000
S. Ramírez,19,180,75,71.0,53.0,55.0,64.0,32.0,54.0,550000
M. Dárdai,18,188,77,67.0,32.0,45.0,46.0,62.0,64.0,475000
H. Heggheim,19,185,75,67.0,29.0,46.0,49.0,61.0,64.0,500000
M. Thompson,18,177,75,67.0,63.0,48.0,58.0,26.0,51.0,525000
A. Sarı,19,181,79,70.0,49.0,55.0,63.0,49.0,56.0,550000
